id,Price,Rating_avg,Acidity,Intensity,Sweetness,Tannin,vintage.year,price_category
53439133,3.95,3.5,2.1298926,4.3544087,2.5432258,3.229032,2014.0,low
140547821,3.67,3.8,3.1169205,4.1243997,1.961222,3.1289942,2016.0,low
151474317,3.3,3.4,2.9932237,3.733677,2.1398206,2.9275653,2017.0,low
156402580,3.17,3.4,2.8301263,3.8239465,1.6268419,2.7092876,2018.0,low
159530996,4.25,3.2,3.1375225,3.6233728,1.9193594,2.9786577,2019.0,low
159493463,4.29,3.3,3.1734045,3.5960639,1.4053458,2.472686,2018.0,low
163016302,4.39,3.2,2.7263355,4.2365026,1.3155992,3.5993023,2020.0,low
163493633,4.49,3.3,2.6577778,4.0672517,1.7452632,3.8799415,2019.0,low
165386716,4.49,3.3,2.731145,4.1955223,1.5172391,3.827576,2020.0,low
142252667,4.49,3.2,3.0089235,3.8504047,1.9686564,3.4891388,2016.0,low
166712090,4.5,3.2,2.9739115,2.7059865,1.7949319,2.7839456,2020.0,low
156651778,4.5,3.1,2.7015812,3.9115014,1.7239306,3.4115927,2018.0,low
163188333,4.5,2.8,4.394231,1.0820192,1.5786538,2.0855768,2020.0,low
160575445,4.68,3.7,2.9247954,3.0297184,2.1556141,2.7158701,2019.0,low
161286008,4.69,3.3,2.989949,4.175205,1.4198462,3.7081792,2019.0,low
159505334,4.69,3.4,3.7855203,2.802423,1.4600719,3.5158381,2019.0,low
164515776,4.74,3.6,3.8202848,2.6161742,1.3851103,2.819221,2020.0,low
163017207,4.75,3.3,2.7599602,3.872278,1.7021022,3.4373462,2020.0,low
159787539,4.75,3.4,2.7956455,4.0992794,1.9202403,3.3914113,2019.0,low
165980212,4.75,3.6,2.524228,4.53172,2.2328777,2.891624,2020.0,low
159486399,4.75,3.2,3.0250275,3.849449,1.9665157,3.1493368,2019.0,low
159871062,4.75,3.1,1.9995307,3.841019,1.8730907,1.9798704,2019.0,low
167484091,4.77,3.3,2.5183687,4.323475,1.7658864,3.4894326,2020.0,low
163082999,4.77,3.3,2.5183687,4.323475,1.7658864,3.4894326,2019.0,low
165306611,4.79,3.3,3.1734045,3.5960639,1.4053458,2.472686,2020.0,low
19178335,4.79,3.3,2.7079384,4.07904,1.6271193,3.5083933,2015.0,low
163079765,4.8,3.7,2.5837543,3.814531,2.6474078,2.1731813,2020.0,low
165748318,4.85,3.5,3.5,4.4282455,1.2578946,2.9508772,2019.0,low
159877672,4.85,3.5,3.0631607,3.6772337,1.6050642,2.9707148,2019.0,low
165833411,4.85,3.5,2.8173735,3.9079034,1.9315181,3.2440724,2020.0,low
161868377,4.85,3.6,3.2391222,3.8652196,1.491805,3.2703416,2019.0,low
20548159,4.89,3.5,2.8173735,3.9079034,1.9315181,3.2440724,2015.0,low
164747153,4.89,3.2,3.13587,3.536151,1.9514961,3.070344,2020.0,low
168728487,4.9,3.6,2.5504048,3.2525456,1.6506007,2.8614101,2020.0,low
161275121,4.9,3.4,2.902132,4.2437563,2.163604,3.643807,2018.0,low
163010148,4.9,3.6,3.132257,4.3246474,1.621113,3.028362,2020.0,low
167411414,4.9,3.7,2.408243,4.341262,2.4206612,2.8188207,2021.0,low
161238741,4.9,3.7,1.8960192,3.8932803,2.575987,2.0975957,2019.0,low
160004718,4.9,3.2,2.8405619,3.7863975,1.6053425,3.3854244,2019.0,low
164959836,4.9,3.2,3.7735577,3.8570857,1.6302607,3.4610426,2020.0,low
163707327,4.9,3.4,2.9270153,3.7237499,1.6808674,2.865638,2020.0,low
166327305,4.9,3.4,2.3224823,3.3903522,1.864067,3.3457923,2020.0,low
165120783,4.9,3.6,2.4947731,4.2641473,2.4111269,2.8670735,2019.0,low
157391907,4.9,3.4,2.4038143,3.722835,3.0436084,2.2320619,2018.0,low
163215394,4.9,3.5,2.3102214,4.5849943,2.4511073,2.9890387,2020.0,low
163189389,4.95,3.7,3.759114,2.650633,1.3760217,2.9566243,2020.0,low
165687539,4.95,3.7,3.3510501,4.3002734,1.6780218,3.1602998,2020.0,low
